# RD|Action Code|State Code|County Code|Site ID|Parameter|POC|Sample Duration|Unit|Method|Date|Start Time|Sample Value|Null Data Code|Sampling Frequency|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
# RC|Action Code|State Code|County Code|Site ID|Parameter|POC|Unit|Method|Year|Period|Number of Samples|Composite Type|Sample Value|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
RD|I|06|079|2007|61103|1|1|012|061|20180107|08:00|1.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|09:00|1.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|10:00|1.5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|11:00|2.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|12:00|3.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|13:00|6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|14:00|4.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|15:00|3.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|16:00|4.2|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|17:00|2.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|18:00|1.5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|19:00|3.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|20:00|1.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|21:00||AW||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|22:00|1.5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|23:00|0.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|00:00|0.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|01:00|1.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|02:00|1.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|03:00|2.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|04:00|1.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|05:00|0.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|06:00|3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180108|07:00|1.2|||||||||||||||
